p_rel,T_0,target,exp_a,exp_b,exp_c,exp_d,exp_e,exp_f,exp_g,exp_h,exp_i,exp_j,exp_k,exp_l,exp_m,exp_n
0.2863,18.1,0.09768,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2864,20.0,0.09434,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2864,21.2,0.09318,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,22.0,0.09114,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2864,22.3,0.09005,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2865,23.0,0.08909,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,27.6,0.08628,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,30.4,0.08489,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,33.1,0.08415,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,33.5,0.08402,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,34.0,0.08316,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2862,34.4,0.08289,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5725,11.7,0.08603,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,12.8,0.08537,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,12.3,0.08510,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,12.4,0.08534,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,11.5,0.08524,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,11.3,0.08506,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,38.6,0.07847,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,41.9,0.07728,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,48.2,0.07569,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,50.0,0.07464,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,50.3,0.07472,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,49.8,0.07426,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8585,14.5,0.08330,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8585,15.2,0.08228,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8584,15.6,0.08227,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8584,15.4,0.08217,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8584,14.8,0.08210,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8584,14.7,0.08214,1,0,0,0,0,0,0,0,0,0,0,0,0,0
