r_k,log_Re,target
507,4.114,0.456
507,4.23,0.438
507,4.322,0.417
507,4.362,0.407
507,4.362,0.403
507,4.462,0.381
507,4.491,0.38
507,4.532,0.366
507,4.568,0.365
507,4.591,0.356
507,4.623,0.347
507,4.672,0.333
507,4.69,0.324
507,4.716,0.32
507,4.763,0.307
507,4.806,0.303
507,4.851,0.292
507,4.898,0.286
507,4.94,0.278
507,4.973,0.274
507,5.009,0.274
507,5.025,0.272
507,5.049,0.27
507,5.1,0.262
507,5.143,0.26
507,5.199,0.255
507,5.236,0.253
507,5.27,0.255
507,5.281,0.253
507,5.303,0.25
507,5.326,0.252
507,5.377,0.255
507,5.43,0.253
507,5.493,0.258
507,5.534,0.26
507,5.574,0.262
507,5.608,0.29
507,5.63,0.272
507,5.668,0.272
507,5.709,0.272
507,5.756,0.278
507,5.792,0.279
507,5.833,0.283
507,5.94,0.286
507,5.965,0.288
507,5.929,0.289
507,5.954,0.288
507,5.987,0.286
252,4.21,0.4506
252,4.279,0.4349
252,4.465,0.3808
252,4.507,0.3636
252,4.549,0.3579
252,4.597,0.3562
252,4.644,0.3434
252,4.778,0.3257
252,4.82,0.3282
252,4.916,0.3222
252,4.987,0.3197
252,5.057,0.321
252,5.1,0.3228
252,5.173,0.3197
252,5.21,0.3276
252,5.283,0.3322
252,5.366,0.3416
252,5.494,0.3504
252,5.58,0.3562
252,5.623,0.3602
252,5.702,0.3636
252,4.708,0.3371
252,5.305,0.3328
252,5.544,0.3562
252,5.787,0.3661
252,4.748,0.3335
252,4.869,0.3228
252,4.954,0.321
252,5.134,0.321
252,5.255,0.3294
252,5.415,0.3434
252,5.58,0.3551
252,5.748,0.3608
252,5.845,0.3666
252,5.881,0.3688
252,5.924,0.3727
252,5.967,0.3705
252,5.991,0.3716
60,3.653,0.593
60,3.7,0.577
60,3.74,0.571
60,3.785,0.56
60,3.851,0.544
60,3.869,0.531
60,3.909,0.512
60,3.949,0.512
60,3.996,0.507
60,4.057,0.494
60,4.09,0.49
60,4.161,0.494
60,4.236,0.487
60,4.29,0.487
60,4.391,0.481
60,4.412,0.489
60,4.512,0.49
60,4.54,0.487
60,4.553,0.498
60,4.58,0.493
60,4.609,0.507
60,4.654,0.504
60,4.665,0.507
60,4.699,0.509
60,4.74,0.517
60,4.769,0.52
60,4.813,0.528
60,4.849,0.526
60,4.93,0.543
60,4.954,0.534
60,5.034,0.543
60,5.155,0.543
60,5.083,0.545
60,5.185,0.55
60,5.231,0.537
60,4.875,0.535
60,4.924,0.534
60,4.954,0.542
60,5.052,0.535
60,5.033,0.54
60,5.13,0.545
60,5.17,0.55
60,5.196,0.547
60,5.23,0.568
60,5.258,0.551
60,5.283,0.555
60,5.312,0.551
60,5.35,0.555
60,5.408,0.55
60,5.47,0.555
60,5.497,0.543
60,5.515,0.551
60,5.549,0.55
60,5.554,0.558
60,5.575,0.551
60,5.6,0.55
60,5.621,0.56
60,5.625,0.543
60,5.641,0.543
60,5.655,0.55
60,5.659,0.551
60,5.668,0.56
60,5.691,0.553
60,5.714,0.551
60,5.748,0.558
60,5.757,0.55
60,5.789,0.551
60,5.836,0.547
60,5.865,0.555
60,5.914,0.553
60,5.916,0.55
60,5.945,0.551
60,5.962,0.555
15,3.77,0.696
15,3.82,0.699
15,3.855,0.707
15,3.905,0.712
15,3.955,0.717
15,4,0.73
15,4.041,0.734
15,4.076,0.736
15,4.079,0.744
15,4.114,0.751
15,4.133,0.74
15,4.179,0.744
15,4.196,0.754
15,4.27,0.76
15,4.29,0.756
15,4.314,0.769
15,4.34,0.763
15,4.366,0.778
15,4.386,0.772
15,4.41,0.772
15,4.425,0.782
15,4.466,0.785
15,4.52,0.78
15,4.59,0.781
15,4.63,0.777
15,4.725,0.78
15,4.811,0.781
15,4.865,0.777
15,4.885,0.776
15,4.965,0.779
15,5,0.781
15,5.042,0.78
15,5.098,0.781
15,5.155,0.778
15,5.179,0.781
15,5.285,0.779
15,4.44,0.775
15,4.5,0.777
15,4.54,0.778
15,4.596,0.78
15,4.685,0.781
15,4.722,0.777
15,4.845,0.775
15,4.869,0.778
15,4.929,0.78
15,4.949,0.779
15,5.002,0.777
15,5.005,0.775
15,5.097,0.778
15,5.139,0.783
15,5.156,0.784
15,5.22,0.777
15,5.236,0.78
15,5.31,0.778
15,5.36,0.775
15,5.41,0.78
15,5.446,0.78
15,5.455,0.777
15,5.515,0.781
15,5.567,0.778
15,5.613,0.78
15,5.69,0.784
15,5.834,0.781
15,5.882,0.777
15,5.959,0.778
15,6.008,0.78
15,5.793,0.78
15,5.857,0.777
15,5.93,0.778
15,5.987,0.78
126,3.63,0.594
