,action_0,action_1,action_2,cumulative_reward
0,0.61884284,0.7615942,-0.0,163.67027
1,0.7960602,0.7615942,0.0066857915,163.67027
2,0.88778806,0.7615942,-0.17956455,163.67027
3,0.8071656,0.7615942,-0.20706137,163.67027
4,0.6625535,0.7615942,0.010460988,163.67027
5,0.9697491,0.7615942,0.3196749,163.67027
6,0.97986037,0.7615942,0.43668857,163.67027
7,0.9525098,0.7615942,0.3902249,163.67027
8,0.8821584,0.7615942,0.12755921,163.67027
9,0.8967245,0.7615942,-0.20767231,163.67027
10,0.97423494,0.7615942,-0.6676498,163.67027
11,0.9741734,0.7615942,-0.88087165,163.67027
12,0.7753121,0.7615942,-0.912956,163.67027
13,0.94354284,0.7615942,-0.78607774,163.67027
14,0.93601125,0.7615942,0.21223062,163.67027
15,0.98180187,0.7615942,0.9677782,163.67027
16,0.986575,0.7615942,0.9988358,163.67027
17,0.8023558,0.7615942,0.9996562,163.67027
18,0.8090295,0.7615942,0.99921733,163.67027
19,0.9805369,0.7615942,0.9762476,163.67027
20,0.98874664,0.7615942,-0.16214366,163.67027
21,0.9743318,0.7615942,-0.99256194,163.67027
22,0.95256686,0.7615942,-0.9998969,163.67027
23,0.73850626,0.7615942,-0.9999787,163.67027
24,0.944765,0.7615942,-0.9997824,163.67027
25,0.9619414,0.7615942,-0.9266208,163.67027
26,0.9576099,0.7615942,0.9740157,163.67027
27,0.9883753,0.7615942,0.9999718,163.67027
28,0.98189986,0.7615942,0.9999996,163.67027
29,0.94981796,0.7615942,0.9999997,163.67027
30,0.91064316,0.7615942,0.99998564,163.67027
31,0.7253951,0.7615942,0.9861149,163.67027
32,0.98151106,0.7615942,-0.9183046,163.67027
33,0.9984259,0.7615942,-0.9999397,163.67027
34,0.9952047,0.7615942,-0.9999996,163.67027
35,0.9305183,0.7615942,-1.0,163.67027
36,0.982735,0.7615942,-0.99999386,163.67027
37,0.9744523,0.7615942,-0.9715167,163.67027
38,0.970058,0.7615942,0.995491,163.67027
39,0.9961357,0.7615942,0.99999905,163.67027
40,0.98583084,0.7615942,1.0,163.67027
41,0.96990603,0.7615942,1.0,163.67027
42,0.8642617,0.7615942,0.99999475,163.67027
43,0.8871871,0.7615942,0.99063283,163.67027
44,0.97725636,0.7615942,-0.94172287,163.67027
45,0.9991072,0.7615942,-0.99997574,163.67027
46,0.99835104,0.7615942,-1.0,163.67027
47,0.86541766,0.7615942,-1.0,163.67027
48,0.98706746,0.7615942,-0.99999964,163.67027
49,0.9829828,0.7615942,-0.9973591,163.67027
50,0.9745533,0.7615942,0.98394716,163.67027
51,0.99592686,0.7615942,0.99999905,163.67027
52,0.98171943,0.7615942,1.0,163.67027
53,0.958222,0.7615942,1.0,163.67027
54,0.7259144,0.7615942,0.99999064,163.67027
55,0.9384491,0.7615942,0.9489625,163.67027
56,0.9766065,0.7615942,-0.99438405,163.67027
57,0.9978711,0.7615942,-0.9999978,163.67027
58,0.9978121,0.7615942,-1.0,163.67027
59,0.90268797,0.7615942,-1.0,163.67027
60,0.9867656,0.7615942,-0.9999974,163.67027
61,0.9791565,0.7615942,-0.95305,163.67027
62,0.96735877,0.7615942,0.99908876,163.67027
63,0.9952561,0.7615942,1.0,163.67027
64,0.9642246,0.7615942,1.0,163.67027
65,0.97335607,0.7615942,1.0,163.67027
66,0.916019,0.7615942,0.9999694,163.67027
67,0.8370651,0.7615942,0.7812797,163.67027
68,0.98633283,0.7615942,-0.9985282,163.67027
69,0.99824166,0.7615942,-0.9999982,163.67027
70,0.994214,0.7615942,-1.0,163.67027
71,0.9306115,0.7615942,-1.0,163.67027
72,0.97772175,0.7615942,-0.99998295,163.67027
73,0.98821044,0.7615942,-0.6023711,163.67027
74,0.9879912,0.7615942,0.9998849,163.67027
75,0.99306756,0.7615942,1.0,163.67027
76,0.9808742,0.7615942,1.0,163.67027
77,0.9587915,0.7615942,1.0,163.67027
78,0.81605417,0.7615942,0.9999718,163.67027
